"","track_name","album_name.y","track_number","lyrics_body","duration_ms"
"1","...Ready For It?","reputation",1,"Knew he was a killer first time that I saw him Wonder how many girls he had loved and left haunted But if he's a ghost, then I can be a phantom Holdin' him for ransom  Some, some boys are tryin' too hard He don't try at all, though Younger than my exes but he act like such a man, so I see nothing better, I keep him forever Like a vendetta-ta  I-I-I see how this is gon' go Touch me and you'll never be alone I-Island breeze and lights down low No one has to know  In the middle of the night, in my dreams You should see the things we do, baby (mmm) In the middle of the night, in my dreams I know I'm gonna be with you So I'll take my time Are you ready for it?  Knew I was a robber first time that he saw me Stealing hearts and running off and never saying sorry ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",208186
"2","‘tis the damn season","evermore (deluxe version)",4,"If I wanted to know who you were hanging with While I was gone I would have asked you It's the kind of cold, fogs up windshield glass But I felt it when I passed you There's an ache in you put there by the ache in me But if it's all the same to you It's the same to me  So we could call it even You could call me babe for the weekend 'Tis the damn season, write this down I'm stayin' at my parents' house And the road not taken looks real good now And it always leads to you in my hometown  I parkеd my car right between the Methodist And thе school that used to be ours The holidays linger like bad perfume You can run, but only so far I escaped it too, remember how you watched me leave ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",229840
"3","""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",17,"Flamingo pink, Sunrise Boulevard Clink, clink, being this young is art Aquamarine, moonlit swimming pool What if all I need is you?  Got love-struck, went straight to my head Got lovesick all over my bed Love to think you'll never forget Handprints in wet cement  Adorned with smoke on my clothes Lovelorn and nobody knows Love thorns all over this rose I'll pay the price, you won't  But if I'm all dressed up They might as well be lookin' at us And if they call me a slut ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",180381
"4","22 (Taylor's Version)","Red (Taylor's Version)",6,"It feels like a perfect night To dress up like hipsters And make fun of our exes Ah-ah, ah-ah  It feels like a perfect night For breakfast at midnight To fall in love with strangers Ah-ah, ah-ah  Yeah, we're happy, free, confused, and lonely at the same time It's miserable and magical, oh yeah Tonight's the night when we forget about the deadlines It's time, oh-oh  I don't know about you, but I'm feeling 22 Everything will be alright if you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if we just keep dancing like we're 22  22  It seems like one of those nights This place is too crowded ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",230960
"5","A Perfectly Good Heart","Taylor Swift",14,"Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?  Maybe I should've seen the signs, should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",220146
"6","A Place in this World","Taylor Swift",4,"I don't know what I want So don't ask me 'Cause I'm still trying, to figure it out Don't know what's down, this road I'm just walking Trying to see through the rain coming down Even though I'm not the only one, who feels the way I do  I'm alone, on my own And that's all I know I'll be strong, I'll be wrong Oh, but life goes on Oh, I'm just a girl Trying to find a place in this world  ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",199200
"7","Afterglow","Lover",15,"I blew things out of proportion Now you're blue Put you in jail for something you didn't do I pinned your hands behind your back, oh Thought I had reason to attack, but no  Fighting with a true love Is boxing with no gloves Chemistry 'til it blows up, 'til there's no us Why'd I have to break what I love so much? It's on your face And I'm to blame I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you I don't wanna lose, I don't wanna lose this with you ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",223293
"8","All Of The Girls You Loved Before","All Of The Girls You Loved Before",1,"When you think of all the late nights Lame fights over the phone Wake up in the mornin' With someone but feelin' alone  A heart is drawn around your name In someone's handwriting, not mine We're sneakin' out into town Holdin' hands, just killin' time  Your past and mine are parallel lines Stars all aligned, and they intertwined And taught you the way you call me baby Treat me like a lady, all that I can say is  All of the girls you loved before (ooh) Made you the one I've fallen for Every dead-end street led you straight to me Now you're all I need I'm so thankful for ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",221407
"9","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)",30,"I walked through the door with you The air was cold But something 'bout it felt like home somehow And I, left my scarf there at your sister's house And you've still got it in your drawer even now  Oh, your sweet disposition And my wide-eyed gaze We're singing in the car, getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days  And I know it's long gone and that magic's not here no more And I might be okay, but I'm not fine at all  'Cause there we are again on that little town street You almost ran the red 'cause you were looking over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter Your cheeks were turning red You used to be a little kid with glasses in a twin-sized bed And your mother's telling stories 'bout you on the tee-ball team You told me 'bout your past thinking your future was me  And you were tossing me the car keys ""F- the patriarchy"" keychain on the ground We were always skipping town And I was thinking on the drive down Any time now, he's gonna say it's love You never called it what it was  'Til we were dead and gone and buried Check the pulse and come back swearing it's the same After three months in the grave And then you wondered where it went to as I reached for you But all I felt was shame, and you held my lifeless frame  And I know it's long gone, and there was nothing else I could do And I forget about you long enough to forget why I needed to  'Cause there we are again in the middle of the night ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",613026
"10","All Too Well (10 Minute Version) (The Short Film)","All Too Well (10 Minute Version) (The Short Film)",1,"I walked through the door with you, the air was cold But somethin' 'bout it felt like home somehow And I left my scarf there at your sister's house And you've still got it in your drawer even now  Oh, your sweet disposition and my wide-eyed gaze We're singin' in the car, getting lost upstate Autumn leaves fallin' down like pieces into place And I can picture it after all these days  And I know it's long gone and that magic's not here no more And I might be okay, but I'm not fine at all, oh  'Cause there we are again on that little town street You almost ran the red 'cause you were looking over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter, your cheeks were turnin' red You used to be a little kid with glasses in a twin-sized bed And your mother's telling stories 'bout you on the tee-ball team You taught me 'bout your past, thinkin' your future was me  And you were tossing me the car keys ""Fuck the patriarchy"" keychain on the ground We were always skippin' town And I was thinkin' on the drive down ""Anytime now, he's gonna say it's love"" You never called it what it was  'Til we were dead and gone and buried Check the pulse and come back swearin' it's the same After three months in the grave And then you wondered where it went to As I reached for you, but all I felt was shame And you held my lifeless frame  And I know it's long gone and there was nothin' else I could do And I forget about you long enough to forget why I needed to  'Cause there we are again in the middle of the night We're dancing 'round the kitchen in the refrigerator light Down the stairs, I was there I remember it all too well ...  ******* This Lyrics is NOT for Commercial use ******* (1409624132591)",686022
